,Text,Target
0,Guilty.\non.\nall.\ncounts.\n\nToday was a historic day in America\xe2\x80\x94and the world. Justice was served because\n\nTomorrow we continue.\n\n\xe2\x9c\x8a\xf0\x9f\x8f\xbb\xe2\x9c\x8a\xf0\x9f\x8f\xbc\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbf ,0
1,"Proud of our students success!\nIn next few days we will be posting stories of our students covering their individual journey, stay tuned! ",0
2,"Creativity is inventing, experimenting, growing, taking risks, breaking rules, making mistakes and having fun. ",0
3,"1st use and 2nd use B2C TV leads from the experts of Mahe Technologies can reduce the tension of your sales team, significantly. Hurry up!\nVisit Us: https://lnkd.in/ggxzb-D\nCall us at: +44 20 3287 8700\nConnect with us via : ",0
4,"If you\xe2\x80\x99re determined to get into the school of your dreams, you may want to apply through early decision. Here\xe2\x80\x99s what it is, how it\xe2\x80\x99s different from early action, and how to decide if it\xe2\x80\x99s the right move for you. #forbesadvisor ",0
5,"The SAU community has a history of speaking out against racism and other social injustices. We remain committed to providing a safe place for our students to express themselves.\n\nOur greatest hope is that our University, our country and the entire world can strive to be better, not just today, but every day.\n\nIt is our collective goal that the entire SAU community, nation and world will learn from these incidents and ultimately our students, will continue to lead the way in bridging the chasms that exist. \xf0\x9f\x90\xa6\xf0\x9f\x92\x99\xe2\x9c\x8a\xf0\x9f\x8f\xbe ",0
6,"#Britannia MilkBikiss new banter is a lighthearted pun\n\nAn apt choice of actor, like who can take this pun better than him,\n\nHaa Ji, Naa Ji, Kyun Ji.......is that subconscious G ??? :D\n\nCompelling one to watch this ad many many more times,\n\nThis is the third on the list of direct attack ads ( Vs and vs ), whilst this very is less rebellious, hugely laugh laudable\n\n\n\nThe fun will be to witness the Parle G (real Ji)s a defense to this banter\n\nMilkBikis and Parle G have a quite similar product offering(raw materials plus marginal price points)so the USP is thrown into the story as the actor persuaded like Internation school asynchronous to sadharan biscuit!!\n\nChintu Ji holding a biscuit similar to Parle G packaging (done strategically)\n\n\n\nWhat is your understanding of this pun? What can be Parle Gs next move?\n\nI would not be surprised if Parle G spills to Vikis Biki as dhudh roti arey naa naa Ji, Tennis ho yeah aasaradhan padhai, chahe baas Glucose Ji, Jii kiya? Haaaa Jiiii sirf Parle G, school ho national yeah international,dijiye baas Asli G!\n\n\n\n\n\n# """,0
7,I am #learning #python and you ,0
8,#PHARMA SALES\n#hiring #pharmaceutical #medical representative\n\nJOB LOCATION-: BIHAR (ANY AREA) ,1
9,"Lets commence the battle of chess, crushing each others mind, to pronounce the CHECKMATE proudly!\n\n\n\n\n+44 20 3287 8700. """,0
10,Microsoft \xf0\x9d\x92\x94\xf0\x9d\x92\x96\xf0\x9d\x92\x93\xf0\x9d\x92\x91\xf0\x9d\x92\x93\xf0\x9d\x92\x8a\xf0\x9d\x92\x94\xf0\x9d\x92\x86 \xf0\x9d\x92\x8e\xf0\x9d\x92\x86 \xf0\x9d\x92\x98\xf0\x9d\x92\x8a\xf0\x9d\x92\x95\xf0\x9d\x92\x89 \xf0\x9d\x92\x82\xf0\x9d\x92\x8f\xf0\x9d\x92\x90\xf0\x9d\x92\x95\xf0\x9d\x92\x89\xf0\x9d\x92\x86\xf0\x9d\x92\x93 \xf0\x9d\x92\x86\xf0\x9d\x92\x99\xf0\x9d\x92\x84\xf0\x9d\x92\x8a\xf0\x9d\x92\x95\xf0\x9d\x92\x8a\xf0\x9d\x92\x8f\xf0\x9d\x92\x88 \xf0\x9d\x92\x88\xf0\x9d\x92\x8a\xf0\x9d\x92\x87\xf0\x9d\x92\x95 \xf0\x9f\x8e\x81\xf0\x9f\x8e\x97\xef\xb8\x8f\n\n#thankyou #microsoft #gift ,0
11,This is my first achievement post on Linkedin :)\xf0\x9f\x98\x83\nRank:: 212 out of 6600 worldwide (ranked 79 in India)\nEvent::Google code jam i/o for women 2021\nAbsolutely elated to share that I have participated in code jam i/O for women and came in top 3% worldwide and top 1% in India. \xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x92\xbb\nThe problems in the competition were quite standard but few were quite tough as well.\nI would also like to thank my friend for guiding me through process of code jam i/o :)\nUnfortunately I screwed up a bit and can\xe2\x80\x99t make it to top 150 and win seat for code jam virtual i/o .\xf0\x9f\x98\x90\nAlthough I learned a lot from this contest and next year I will be eagerly waiting for this competition again.\nThank You!! \xe2\x9c\x8c\n\n/o ,0
12,"The UI of workat.tech website is amazing.\n\nIt is even more beautiful on mobile.\n\nI use or pocket a lot to save and read articles as it will be easy to read.\n\nBut Whenever I see articles on I save them and read them directly on the website.\n\nI first read the article about Machine Coding Round for Flipkart and I felt the content and the UI is amazing on that day.\n\nThere is something thats making reading more interesting on the website.\n\nThe UI/UX team should be appreciated for their efforts in making the website simple yet beautiful.\n\nAmazing work. Keep up the good work. """,0
13,"Getting car insurance after a DUI conviction can be a challenge, but it\xe2\x80\x99s not impossible and you may be able to find (relatively) good rates. Here\xe2\x80\x99s what you need to know. #forbeasdvisor ",0
14,"Dear #jobseekers\nKindly re-share this post.\nNeed your support for the maximum visibility of this post by liking, sharing and commenting on this post. ",0
15,"Im Rupali Singh Recruiting for PAN #INDIA.\nApply at :https://lnkd.in/gZGscPd\nPlease Hit like or comment \xe2\x80\x98Interested\xe2\x80\x99 so that I can review your profile.\n6108 \xe2\x80\x93 Vacancies\n278 \xe2\x80\x93 Jobs\n155 \xe2\x80\x93 Recruiters\n12050\xe2\x80\x93 Candidates\nFor any further query, kindly call us at 011-45000144 """,1
16,#GVRIndia is excited and pleased to announce the joining of Srideep Kar\nWe extend a warm welcome to him and wishing him All The Very Best!! ,0
17,"Humbled \xe2\x80\x94 I\xe2\x80\x99ve been awarded a gold GitHub Stars Award by GitHub.\n\nWoah, AH! Cant stop starring at this remarkable thing\xe2\x80\x94the 8th award worldwide out of 60 million developers on GitHub.\n\nIt feels great to be recognized for my open-source work, spent over a decade building & helping the FOSS developers community. Thank you, everyone, who made it possible.\n\n\xf0\x9f\x91\x90 Follow me on GitHub:\n\xf0\x9f\x8c\x9f Stars Profile:\n\xe2\x9c\x8d\xef\xb8\x8f Blog post:\n\nI\xe2\x80\x99ve been creating open-source software for a decade. Joined GitHub on August 4, 2011. I was in college at the time. I remember using GitHub in 2009 but never registered \xe2\x80\x94 no one in the college taught us git.\n\nTen years later, most of my career direction has been towards building Free & Open Source Software (FOSS). Open-source has brought me many opportunities. It\xe2\x80\x99s helped me connect with a global audience.\n\nCompanies like Google, PayPal, Netflix, Microsoft, and Amazon use my code in one way or another. My code (FOSS contributions) runs in almost every WordPress, Node.js, webpack, React, and several other applications \xe2\x80\x94both on earth and Outerspace (via NASA). \xf0\x9f\x9a\x80\n\nI\xe2\x80\x99m always excited to share what I build with others. Thank you for supporting my work. Peace! """,0
